Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature
guidsl.GVisitor.action(prod n),4,Method,guidsl,GVisitor,action(prod n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(prod)
guidsl.prod,2,Class,guidsl,prod,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.order.action(star n),4,Method,guidsl,order,action(star n),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.order.action(star n); BttF says it's a child of guidsl.order THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,action(star)
guidsl.order.action(production n),4,Method,guidsl,order,action(production n),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.order.action(production n); BttF says it's a child of guidsl.order THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,action(production)
guidsl.GVisitor.action(production n),4,Method,guidsl,GVisitor,action(production n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(production)
guidsl.order.action(term n),4,Method,guidsl,order,action(term n),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.order.action(term n); BttF says it's a child of guidsl.order THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,action(term)
guidsl.GVisitor.action(term n),4,Method,guidsl,GVisitor,action(term n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(term)
guidsl.order.action(variable n),4,Method,guidsl,order,action(variable n),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.order.action(variable n); BttF says it's a child of guidsl.order THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,action(variable)
guidsl.bexprTest,2,Class,guidsl,bexprTest,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.bexprTest.main(String args[]),4,Method,guidsl,bexprTest,main(String args[]),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,main(String[])
guidsl.and,2,Class,guidsl,and,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.or,2,Class,guidsl,or,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.atmostone,2,Class,guidsl,atmostone,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.node.simplify(),4,Method,guidsl,node,simplify(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,simplify()
guidsl.node.klone(),4,Method,guidsl,node,klone(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,klone()
guidsl.node.cnf(),4,Method,guidsl,node,cnf(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,cnf()
guidsl.CubeXMLHandler,2,Class,guidsl,CubeXMLHandler,,TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.CubeXMLHandler.generateModelFileContent(Element model),4,Method,guidsl,CubeXMLHandler,generateModelFileContent(Element model),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateModelFileContent(Element model); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,generateModelFileContent(Element)
guidsl.CubeXMLHandler.generateGrammar(Element grammar),4,Method,guidsl,CubeXMLHandler,generateGrammar(Element grammar),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateGrammar(Element grammar); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateGrammar(Element)
guidsl.CubeXMLHandler.generateConstraints(Element constraints),4,Method,guidsl,CubeXMLHandler,generateConstraints(Element constraints),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateConstraints(Element constraints); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateConstraints(Element)
guidsl.CubeXMLHandler.generateModelFile(Element model),4,Method,guidsl,CubeXMLHandler,generateModelFile(Element model),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateModelFile(Element model); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,public,generateModelFile(Element)
guidsl.CubeXMLHandler.generateProduction(Element prod),4,Method,guidsl,CubeXMLHandler,generateProduction(Element prod),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateProduction(Element prod); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateProduction(Element)
guidsl.CubeXMLHandler.generatePattern(Element pattern),4,Method,guidsl,CubeXMLHandler,generatePattern(Element pattern),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generatePattern(Element pattern); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generatePattern(Element)
guidsl.CubeXMLHandler.generateOP(Element node),4,Method,guidsl,CubeXMLHandler,generateOP(Element node),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateOP(Element node); BttF says since it calls fprivate guidsl.CubeXMLHandler.generateIFF(Element iff) THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,generateOP(Element)
guidsl.CubeXMLHandler.generateIFF(Element iff),4,Method,guidsl,CubeXMLHandler,generateIFF(Element iff),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateIFF(Element iff); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateIFF(Element)
guidsl.CubeXMLHandler.generateImplies(Element implies),4,Method,guidsl,CubeXMLHandler,generateImplies(Element implies),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateImplies(Element implies); BttF says since it calls fprivate guidsl.CubeXMLHandler.generateOP(Element node) THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,generateImplies(Element)
guidsl.CubeXMLHandler.generateAND(Element and),4,Method,guidsl,CubeXMLHandler,generateAND(Element and),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateAND(Element and); BttF says since it calls fprivate guidsl.CubeXMLHandler.generateOP(Element node) THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,generateAND(Element)
guidsl.CubeXMLHandler.generateOR(Element or),4,Method,guidsl,CubeXMLHandler,generateOR(Element or),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateOR(Element or); BttF says since it calls fprivate guidsl.CubeXMLHandler.generateOP(Element node) THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,generateOR(Element)
guidsl.CubeXMLHandler.generateNOT(Element not),4,Method,guidsl,CubeXMLHandler,generateNOT(Element not),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateNOT(Element not); BttF says since it calls fprivate guidsl.CubeXMLHandler.generateOP(Element node) THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,generateNOT(Element)
guidsl.CubeXMLHandler.generateOnlyone(Element node),4,Method,guidsl,CubeXMLHandler,generateOnlyone(Element node),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateOnlyone(Element node); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateOnlyone(Element)
guidsl.CubeXMLHandler.generateChoose1(Element node),4,Method,guidsl,CubeXMLHandler,generateChoose1(Element node),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateChoose1(Element node); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateChoose1(Element)
guidsl.CubeXMLHandler.generateSubOnlyone(Element node),4,Method,guidsl,CubeXMLHandler,generateSubOnlyone(Element node),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.CubeXMLHandler.generateSubOnlyone(Element node); BttF says it's a child of guidsl.CubeXMLHandler THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,generateSubOnlyone(Element)
guidsl.TokenMgrError,2,Class,guidsl,TokenMgrError,,BASE,TRUE,FALSE,,TRUE,FALSE,,this JavaCC file is kernel & fprivate,public,
guidsl.TokenMgrError.serialVersionUID,3,Field,guidsl,TokenMgrError,serialVersionUID,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.serialVersionUID; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,private,
guidsl.TokenMgrError.LEXICAL_ERROR,3,Field,guidsl,TokenMgrError,LEXICAL_ERROR,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.LEXICAL_ERROR; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,package-private,
guidsl.TokenMgrError.STATIC_LEXER_ERROR,3,Field,guidsl,TokenMgrError,STATIC_LEXER_ERROR,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.STATIC_LEXER_ERROR; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,package-private,
guidsl.TokenMgrError.INVALID_LEXICAL_STATE,3,Field,guidsl,TokenMgrError,INVALID_LEXICAL_STATE,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.INVALID_LEXICAL_STATE; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,package-private,
guidsl.TokenMgrError.LOOP_DETECTED,3,Field,guidsl,TokenMgrError,LOOP_DETECTED,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.LOOP_DETECTED; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,package-private,
guidsl.TokenMgrError.errorCode,3,Field,guidsl,TokenMgrError,errorCode,BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.errorCode; BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,package-private,
guidsl.TokenMgrError.addEscapes(String str),4,Method,guidsl,TokenMgrError,addEscapes(String str),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.addEscapes(String str); BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,protected,addEscapes(String)
guidsl.TokenMgrError.LexicalError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar),4,Method,guidsl,TokenMgrError,LexicalError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.LexicalError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar); BttF says since it calls fprivate guidsl.TokenMgrError.addEscapes(String str) THEN it also belongs to BASE   ,this JavaCC file is kernel & fprivate,protected,LexicalError(boolean; int; int; int; String; char)
guidsl.TokenMgrError.getMessage(),4,Method,guidsl,TokenMgrError,getMessage(),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.getMessage(); BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,public,getMessage()
guidsl.TokenMgrError.TokenMgrError(),5,Constructor,guidsl,TokenMgrError,TokenMgrError(),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.TokenMgrError(); BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,public,TokenMgrError()
guidsl.TokenMgrError.TokenMgrError(String message; int reason),5,Constructor,guidsl,TokenMgrError,TokenMgrError(String message; int reason),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.TokenMgrError(String message; int reason); BttF says since it calls fprivate guidsl.TokenMgrError.errorCode THEN it also belongs to BASE   ,this JavaCC file is kernel & fprivate,public,TokenMgrError(String; int)
guidsl.TokenMgrError.TokenMgrError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar; int reason),5,Constructor,guidsl,TokenMgrError,TokenMgrError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar; int reason),BASE,TRUE,TRUE,,TRUE,FALSE,guidsl.TokenMgrError.TokenMgrError(boolean EOFSeen; int lexState; int errorLine; int errorColumn; String errorAfter; char curChar; int reason); BttF says it's a child of guidsl.TokenMgrError THEN it also is fprivate of BASE   ,this JavaCC file is kernel & fprivate,public,TokenMgrError(boolean; int; int; int; String; char; int)
guidsl.AstOptToken.Delete(),4,Method,guidsl,AstOptToken,Delete(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Delete()
guidsl.AstOptToken.Replace(AstNode withnode),4,Method,guidsl,AstOptToken,Replace(AstNode withnode),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Replace(AstNode)
guidsl.AstOptToken.addComment(String comment),4,Method,guidsl,AstOptToken,addComment(String comment),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(String)
guidsl.AstOptToken.print(AstProperties props),4,Method,guidsl,AstOptToken,print(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print(AstProperties)
guidsl.AstOptToken.print(),4,Method,guidsl,AstOptToken,print(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print()
guidsl.AstOptToken.printorder(),4,Method,guidsl,AstOptToken,printorder(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printorder()
guidsl.AstOptToken.reduce2java(AstProperties props),4,Method,guidsl,AstOptToken,reduce2java(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,reduce2java(AstProperties)
guidsl.AstOptToken.AstOptToken(),5,Constructor,guidsl,AstOptToken,AstOptToken(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,AstOptToken()
guidsl.AstOptToken.setParms(AstTokenInterface child),4,Method,guidsl,AstOptToken,setParms(AstTokenInterface child),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(AstTokenInterface)
guidsl.AstOptToken.Equ(AstTokenInterface x),4,Method,guidsl,AstOptToken,Equ(AstTokenInterface x),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Equ(AstTokenInterface)
guidsl.AstOptToken.tokenName(),4,Method,guidsl,AstOptToken,tokenName(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,tokenName()
guidsl.AstTokenInterface.tokenName(),4,Method,guidsl,AstTokenInterface,tokenName(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,tokenName()
guidsl.AstOptToken.getTokenName(),4,Method,guidsl,AstOptToken,getTokenName(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getTokenName()
guidsl.AstTokenInterface.getTokenName(),4,Method,guidsl,AstTokenInterface,getTokenName(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getTokenName()
guidsl.AstOptToken.setTokenName(String replacement),4,Method,guidsl,AstOptToken,setTokenName(String replacement),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setTokenName(String)
guidsl.AstTokenInterface.setTokenName(String replacement),4,Method,guidsl,AstTokenInterface,setTokenName(String replacement),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setTokenName(String)
guidsl.AstToken.setParms(String _ws; String _sym; int lnum),4,Method,guidsl,AstToken,setParms(String _ws; String _sym; int lnum),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(String; String; int)
guidsl.AstOptToken.printWhitespaceOnly(AstProperties props),4,Method,guidsl,AstOptToken,printWhitespaceOnly(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printWhitespaceOnly(AstProperties)
guidsl.AstTokenInterface.printWhitespaceOnly(AstProperties props),4,Method,guidsl,AstTokenInterface,printWhitespaceOnly(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printWhitespaceOnly(AstProperties)
guidsl.ESListElem,2,Class,guidsl,ESListElem,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.ESListElem.getExprStmt(),4,Method,guidsl,ESListElem,getExprStmt(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getExprStmt()
guidsl.ESListElem.setParms(ExprStmt arg0),4,Method,guidsl,ESListElem,setParms(ExprStmt arg0),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(ExprStmt)
guidsl.BIff,2,Class,guidsl,BIff,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.EExpr,2,Class,guidsl,EExpr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.BIff.visit(Visitor v),4,Method,guidsl,BIff,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.EExpr.visit(Visitor v),4,Method,guidsl,EExpr,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.BIff.ARG_LENGTH,3,Field,guidsl,BIff,ARG_LENGTH,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.BIff.TOK_LENGTH,3,Field,guidsl,BIff,TOK_LENGTH,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.BIff.getEExpr(),4,Method,guidsl,BIff,getEExpr(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getEExpr()
guidsl.BIff.getIExpr(),4,Method,guidsl,BIff,getIExpr(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getIExpr()
guidsl.BIff.printorder(),4,Method,guidsl,BIff,printorder(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printorder()
guidsl.BIff.setParms(IExpr arg0; AstToken tok0; EExpr arg1),4,Method,guidsl,BIff,setParms(IExpr arg0; AstToken tok0; EExpr arg1),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(IExpr; AstToken; EExpr)
guidsl.Visitor.action(BIff n),4,Method,guidsl,Visitor,action(BIff n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(BIff)
guidsl.BIff.eharvest(),4,Method,guidsl,BIff,eharvest(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,eharvest()
guidsl.Switch,2,Class,guidsl,Switch,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.CommandLineArg,2,Class,guidsl,CommandLineArg,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.Switch.description,3,Field,guidsl,Switch,description,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.Switch.args,3,Field,guidsl,Switch,args,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.Switch.Switch(String _id; String _description; String[] argNames; boolean _optional; int _layer),5,Constructor,guidsl,Switch,Switch(String _id; String _description; String[] argNames; boolean _optional; int _layer),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Switch(String; String; String[]; boolean; int)
guidsl.CommandLineArg.name,3,Field,guidsl,CommandLineArg,name,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.CommandLineArg.optional,3,Field,guidsl,CommandLineArg,optional,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.CommandLineArg.layerID,3,Field,guidsl,CommandLineArg,layerID,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.Switch.clone(),4,Method,guidsl,Switch,clone(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,clone()
guidsl.prim.prim(String name),5,Constructor,guidsl,prim,prim(String name),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,prim(String)
guidsl.prim.draw(int several),4,Method,guidsl,prim,draw(int several),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,draw(int)
guidsl.prim.visit(GVisitor v),4,Method,guidsl,prim,visit(GVisitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(GVisitor)
guidsl.term.current,3,Field,guidsl,term,current,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.Opts,2,Class,guidsl,Opts,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.Opts.visit(Visitor v),4,Method,guidsl,Opts,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.AstList.visit(Visitor v),4,Method,guidsl,AstList,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.Visitor.action(Opts n),4,Method,guidsl,Visitor,action(Opts n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(Opts)
guidsl.AvarList,2,Class,guidsl,AvarList,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AvarList.visit(Visitor v),4,Method,guidsl,AvarList,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.Visitor.action(AvarList n),4,Method,guidsl,Visitor,action(AvarList n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(AvarList)
guidsl.atmostone.cnf(),4,Method,guidsl,atmostone,cnf(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,cnf()
guidsl.atmostone.cnf2String(),4,Method,guidsl,atmostone,cnf2String(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,cnf2String()
guidsl.node.cnf2String(),4,Method,guidsl,node,cnf2String(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,cnf2String()
guidsl.atmostone.klone(),4,Method,guidsl,atmostone,klone(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,klone()
guidsl.atmostone.simplify(),4,Method,guidsl,atmostone,simplify(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,simplify()
guidsl.atmostone.toString(),4,Method,guidsl,atmostone,toString(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,toString()
guidsl.atmostone.toXMLString(),4,Method,guidsl,atmostone,toXMLString(),TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,toXMLString()
guidsl.node.toXMLString(),4,Method,guidsl,node,toXMLString(),TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,toXMLString()
guidsl.atmostone.atmostone(node l; node r),5,Constructor,guidsl,atmostone,atmostone(node l; node r),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,atmostone(node; node)
guidsl.atmostone.children(),4,Method,guidsl,atmostone,children(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,children()
guidsl.atmostone.elem(Object[] o; int i),4,Method,guidsl,atmostone,elem(Object[] o; int i),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private,elem(Object[]; int)
guidsl.atmostone.makeAnd(Object[] o; int i; int j),4,Method,guidsl,atmostone,makeAnd(Object[] o; int i; int j),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private,makeAnd(Object[]; int; int)
guidsl.not,2,Class,guidsl,not,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.node.array2String(Object[] o; String op),4,Method,guidsl,node,array2String(Object[] o; String op),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,array2String(Object[]; String)
guidsl.SwingDialog,2,Class,guidsl,SwingDialog,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.SwingDialog.initConstants(),4,Method,guidsl,SwingDialog,initConstants(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,initConstants()
guidsl.SwingDialog.initAtoms(),4,Method,guidsl,SwingDialog,initAtoms(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,initAtoms()
guidsl.SwingDialog.initLayout(),4,Method,guidsl,SwingDialog,initLayout(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,initLayout()
guidsl.SwingDialog.ContentPane,3,Field,guidsl,SwingDialog,ContentPane,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.SwingDialog.initContentPane(),4,Method,guidsl,SwingDialog,initContentPane(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,initContentPane()
guidsl.SwingDialog.initListeners(),4,Method,guidsl,SwingDialog,initListeners(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,initListeners()
guidsl.SwingDialog.init(),4,Method,guidsl,SwingDialog,init(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,init()
guidsl.SwingDialog.SwingDialog(JFrame owner; boolean modal),5,Constructor,guidsl,SwingDialog,SwingDialog(JFrame owner; boolean modal),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,SwingDialog(JFrame; boolean)
guidsl.SwingDialog.SwingDialog(JFrame owner; String AppTitle; boolean modal),5,Constructor,guidsl,SwingDialog,SwingDialog(JFrame owner; String AppTitle; boolean modal),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,SwingDialog(JFrame; String; boolean)
guidsl.SwingDialog.applicationExit(),4,Method,guidsl,SwingDialog,applicationExit(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,applicationExit()
guidsl.node.reduce(ArrayList terms),4,Method,guidsl,node,reduce(ArrayList terms),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,reduce(ArrayList)
guidsl.node.reduce(cnfClause c),4,Method,guidsl,node,reduce(cnfClause c),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,reduce(cnfClause)
guidsl.node.reduce(cterm t),4,Method,guidsl,node,reduce(cterm t),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,reduce(cterm)
guidsl.node.incompleteMessage,3,Field,guidsl,node,incompleteMessage,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
